 #STATE AT TIME T. FIRST ROW IS TIME, FOLLOWING ROWS ARE THE STATE ORDERED IN THE BASIS VECTORS.
   9.9980000000000082     
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
               (0.0000000000000000,0.0000000000000000)
        (8.88178419700125232E-016,0.24470123484639436)
 (-6.65150776718987369E-002,-3.40005801291454191E-015)
        (0.43348492232810132,4.71844785465691530E-016)
       (0.43348492232810121,-4.30211422042248159E-016)
        (9.15933995315754146E-016,0.24470123484639456)
        (9.43689570931383059E-016,0.24470123484639519)
        (9.43689570931383059E-016,0.24470123484639528)
       (0.43348492232810137,-4.71844785465691530E-016)
        (0.43348492232810143,4.85722573273505986E-016)
 (-6.65150776718983205E-002,-2.87270207621759255E-015)
